Padre	Madre	Hijos	Orden de Nacimiento	Género Hijos	Lugar de nacimiento	Significado del Nombre (Padre)	Referencia	Información Adicional	Notas
Israel		Simeón	2	M	Padan-aram	El que lucha con Dios / Príncipe de Dios	1 Crónicas 2 [Cruces: Israel: Génesis 25:21 a 49:33; Oseas 12:3-4; Mateo 1:2; Simeón: Génesis 29:33, 34:25-30, 49:5-7]	Sobre el padre (Israel): Nombre dado a Jacob tras su lucha con el ángel en Peniel; sus doce hijos fundaron las 12 tribus. | Sobre el hijo (Simeón): Segundo hijo de Jacob y Lea; lideró la venganza contra Siquem junto a Leví.	Sentencia 40: Estos son los hijos de Israel: Rubén, Simeón, Leví, Judá, Isacar, Zabulón, Dan, José, Benjamín, Neft
Israel		Leví	3	M	Padan-aram	El que lucha con Dios / Príncipe de Dios	1 Crónicas 2 [Cruces: Israel: Génesis 25:21 a 49:33; Oseas 12:3-4; Mateo 1:2; Leví: Génesis 29:34, 49:5-7; Éxodo 2; Hebreos 7]	Sobre el padre (Israel): Nombre dado a Jacob tras su lucha con el ángel en Peniel; sus doce hijos fundaron las 12 tribus. | Sobre el hijo (Leví): Tercer hijo de Jacob y Lea; su descendencia fue apartada exclusivamente para el servicio del templo.	Sentencia 40: Estos son los hijos de Israel: Rubén, Simeón, Leví, Judá, Isacar, Zabulón, Dan, José, Benjamín, Neft
Israel		Judá	4	M	Padan-aram	El que lucha con Dios / Príncipe de Dios	1 Crónicas 2 [Cruces: Israel: Génesis 25:21 a 49:33; Oseas 12:3-4; Mateo 1:2; Judá: Génesis 29:35, Cap 38, Cap 44, 49:8-12; Hebreos 7:14; Apocalipsis 5:5; Mateo 1:2-3]	Sobre el padre (Israel): Nombre dado a Jacob tras su lucha con el ángel en Peniel; sus doce hijos fundaron las 12 tribus. | Sobre el hijo (Judá): Cuarto hijo de Jacob y Lea; de su línea proviene el rey David y Jesucristo (el León de la tribu de Judá).	Sentencia 40: Estos son los hijos de Israel: Rubén, Simeón, Leví, Judá, Isacar, Zabulón, Dan, José, Benjamín, Neft
Israel		Isacar	5	M	Canaán (padre)	El que lucha con Dios / Príncipe de Dios	1 Crónicas 2 [Cruces: Israel: Génesis 25:21 a 49:33; Oseas 12:3-4; Mateo 1:2]	Sobre el padre (Israel): Nombre dado a Jacob tras su lucha con el ángel en Peniel; sus doce hijos fundaron las 12 tribus.	Sentencia 40: Estos son los hijos de Israel: Rubén, Simeón, Leví, Judá, Isacar, Zabulón, Dan, José, Benjamín, Neft
Israel		Zabulón	6	M	Canaán (padre)	El que lucha con Dios / Príncipe de Dios	1 Crónicas 2 [Cruces: Israel: Génesis 25:21 a 49:33; Oseas 12:3-4; Mateo 1:2]	Sobre el padre (Israel): Nombre dado a Jacob tras su lucha con el ángel en Peniel; sus doce hijos fundaron las 12 tribus.	Sentencia 40: Estos son los hijos de Israel: Rubén, Simeón, Leví, Judá, Isacar, Zabulón, Dan, José, Benjamín, Neft
Israel		Dan	7	M	Canaán (padre)	El que lucha con Dios / Príncipe de Dios	1 Crónicas 2 [Cruces: Israel: Génesis 25:21 a 49:33; Oseas 12:3-4; Mateo 1:2]	Sobre el padre (Israel): Nombre dado a Jacob tras su lucha con el ángel en Peniel; sus doce hijos fundaron las 12 tribus.	Sentencia 40: Estos son los hijos de Israel: Rubén, Simeón, Leví, Judá, Isacar, Zabulón, Dan, José, Benjamín, Neft
Israel		José	8	M	Padan-aram	El que lucha con Dios / Príncipe de Dios	1 Crónicas 2 [Cruces: Israel: Génesis 25:21 a 49:33; Oseas 12:3-4; Mateo 1:2; José: Génesis 30:22-24, Caps 37-50; Salmo 105:17-22; Hebreos 11:21-22]	Sobre el padre (Israel): Nombre dado a Jacob tras su lucha con el ángel en Peniel; sus doce hijos fundaron las 12 tribus. | Sobre el hijo (José): Hijo predilecto de Jacob y Raquel; vendido por sus hermanos, llegó a ser gobernante y salvador de Egipto.	Sentencia 40: Estos son los hijos de Israel: Rubén, Simeón, Leví, Judá, Isacar, Zabulón, Dan, José, Benjamín, Neft
Israel		Benjamín	9	M	Canaán (cerca de Belén)	El que lucha con Dios / Príncipe de Dios	1 Crónicas 2 [Cruces: Israel: Génesis 25:21 a 49:33; Oseas 12:3-4; Mateo 1:2; Benjamín: Génesis 35:16-18, 49:27; Romanos 11:1; Filipenses 3:5]	Sobre el padre (Israel): Nombre dado a Jacob tras su lucha con el ángel en Peniel; sus doce hijos fundaron las 12 tribus. | Sobre el hijo (Benjamín): Hijo menor de Jacob y Raquel, quien falleció en el parto llamándolo Benoni.	Sentencia 40: Estos son los hijos de Israel: Rubén, Simeón, Leví, Judá, Isacar, Zabulón, Dan, José, Benjamín, Neft
Israel		Neftalí	10	M	Canaán (padre)	El que lucha con Dios / Príncipe de Dios	1 Crónicas 2 [Cruces: Israel: Génesis 25:21 a 49:33; Oseas 12:3-4; Mateo 1:2]	Sobre el padre (Israel): Nombre dado a Jacob tras su lucha con el ángel en Peniel; sus doce hijos fundaron las 12 tribus.	Sentencia 40: Estos son los hijos de Israel: Rubén, Simeón, Leví, Judá, Isacar, Zabulón, Dan, José, Benjamín, Neft
Israel		Gad	11	M	Canaán (padre)	El que lucha con Dios / Príncipe de Dios	1 Crónicas 2 [Cruces: Israel: Génesis 25:21 a 49:33; Oseas 12:3-4; Mateo 1:2]	Sobre el padre (Israel): Nombre dado a Jacob tras su lucha con el ángel en Peniel; sus doce hijos fundaron las 12 tribus.	Sentencia 40: Estos son los hijos de Israel: Rubén, Simeón, Leví, Judá, Isacar, Zabulón, Dan, José, Benjamín, Neft
Israel		Aser	12	M	Canaán (padre)	El que lucha con Dios / Príncipe de Dios	1 Crónicas 2 [Cruces: Israel: Génesis 25:21 a 49:33; Oseas 12:3-4; Mateo 1:2]	Sobre el padre (Israel): Nombre dado a Jacob tras su lucha con el ángel en Peniel; sus doce hijos fundaron las 12 tribus.	Sentencia 40: Estos son los hijos de Israel: Rubén, Simeón, Leví, Judá, Isacar, Zabulón, Dan, José, Benjamín, Neft
Judá		Er	1	M	Padan-aram (padre)	Alabado sea Dios / Celebrado	1 Crónicas 2 [Cruces: Judá: Génesis 29:35, Cap 38, Cap 44, 49:8-12; Hebreos 7:14; Apocalipsis 5:5; Mateo 1:2-3]	Sobre el padre (Judá): Cuarto hijo de Jacob y Lea; de su línea proviene el rey David y Jesucristo (el León de la tribu de Judá).	Sentencia 41: Hijos de Judá: Er, Onán y Sela
Judá		Onán	2	M	Padan-aram (padre)	Alabado sea Dios / Celebrado	1 Crónicas 2 [Cruces: Judá: Génesis 29:35, Cap 38, Cap 44, 49:8-12; Hebreos 7:14; Apocalipsis 5:5; Mateo 1:2-3]	Sobre el padre (Judá): Cuarto hijo de Jacob y Lea; de su línea proviene el rey David y Jesucristo (el León de la tribu de Judá).	Sentencia 41: Hijos de Judá: Er, Onán y Sela
Judá		Sela	3	M	Padan-aram (padre)	Alabado sea Dios / Celebrado	1 Crónicas 2 [Cruces: Judá: Génesis 29:35, Cap 38, Cap 44, 49:8-12; Hebreos 7:14; Apocalipsis 5:5; Mateo 1:2-3]	Sobre el padre (Judá): Cuarto hijo de Jacob y Lea; de su línea proviene el rey David y Jesucristo (el León de la tribu de Judá).	Sentencia 41: Hijos de Judá: Er, Onán y Sela
Judá	Tamar	Fares	1	M	Padan-aram (padre)	Alabado sea Dios / Celebrado	1 Crónicas 2 [Cruces: Judá: Génesis 29:35, Cap 38, Cap 44, 49:8-12; Hebreos 7:14; Apocalipsis 5:5; Mateo 1:2-3]	Sobre el padre (Judá): Cuarto hijo de Jacob y Lea; de su línea proviene el rey David y Jesucristo (el León de la tribu de Judá).	Sentencia 44: Y Tamar  su nuera dio a luz a Fares y a Zera
Judá	Tamar	Zera	2	M	Padan-aram (padre)	Alabado sea Dios / Celebrado	1 Crónicas 2 [Cruces: Judá: Génesis 29:35, Cap 38, Cap 44, 49:8-12; Hebreos 7:14; Apocalipsis 5:5; Mateo 1:2-3]	Sobre el padre (Judá): Cuarto hijo de Jacob y Lea; de su línea proviene el rey David y Jesucristo (el León de la tribu de Judá).	Sentencia 44: Y Tamar  su nuera dio a luz a Fares y a Zera
Fares		Hezrón	1	M			1 Crónicas 2		Sentencia 46: Hijos de Fares : Hezrón y Hamul
Fares		Hamul	2	M			1 Crónicas 2		Sentencia 46: Hijos de Fares : Hezrón y Hamul
Zera		Zimri	1	M			1 Crónicas 2		Sentencia 47: E hijos de Zera: Zimri, Etán, Hemán, Calcol y Dara: cinco por todos
Zera		Etán	2	M			1 Crónicas 2		Sentencia 47: E hijos de Zera: Zimri, Etán, Hemán, Calcol y Dara: cinco por todos
Zera		Hemán	3	M			1 Crónicas 2		Sentencia 47: E hijos de Zera: Zimri, Etán, Hemán, Calcol y Dara: cinco por todos
Zera		Calcol	4	M			1 Crónicas 2		Sentencia 47: E hijos de Zera: Zimri, Etán, Hemán, Calcol y Dara: cinco por todos
Zera		Dara: cinco por todos	5	M			1 Crónicas 2		Sentencia 47: E hijos de Zera: Zimri, Etán, Hemán, Calcol y Dara: cinco por todos
Ram		Aminadab		M			1 Crónicas 2		Sentencia 51: Ram engendró a Aminadab, y Aminadab engendró a Naasón, príncipe de los hijos de Judá
Aminadab		Naasón		M			1 Crónicas 2		Sentencia 51: Ram engendró a Aminadab, y Aminadab engendró a Naasón, príncipe de los hijos de Judá
Naasón		Salmón		M			1 Crónicas 2		Sentencia 52: Naasón engendró a Salmón, y Salmón engendró a Boaz
Salmón		Boaz		M			1 Crónicas 2		Sentencia 52: Naasón engendró a Salmón, y Salmón engendró a Boaz
Boaz		Obed		F			1 Crónicas 2		Sentencia 53: Boaz engendró a Obed, y Obed engendró a Isaí, e Isaí engendró a Eliab su primogénito, el segundo Abi
Obed		Isaí		F			1 Crónicas 2		Sentencia 53: Boaz engendró a Obed, y Obed engendró a Isaí, e Isaí engendró a Eliab su primogénito, el segundo Abi
e Isaí		Eliab su		F			1 Crónicas 2		Sentencia 53: Boaz engendró a Obed, y Obed engendró a Isaí, e Isaí engendró a Eliab su primogénito, el segundo Abi
Sarvia fueron tres		Abisai	1	M			1 Crónicas 2		Sentencia 54: Los hijos de Sarvia fueron tres: Abisai, Joab y Asael
Sarvia fueron tres		Joab	2	M			1 Crónicas 2		Sentencia 54: Los hijos de Sarvia fueron tres: Abisai, Joab y Asael
Sarvia fueron tres		Asael	3	M			1 Crónicas 2		Sentencia 54: Los hijos de Sarvia fueron tres: Abisai, Joab y Asael
Jeter	Abigail	Amasa	1	M			1 Crónicas 2		Sentencia 55: Abigail dio a luz a Amasa, cuyo padre fue Jeter ismaelita
Caleb	Azuba	Jeriot		M	Egipto (padre)	Perro, audaz, impetuoso o fiel	1 Crónicas 2 [Cruces: Caleb: Números 13:6, 14:24-38; Josué 14:6-15]	Sobre el padre (Caleb): Espía fiel de la tribu de Judá que confió en Dios; recibió Hebrón como herencia por su fe.	Sentencia 56: Caleb ben Hezrón engendró a Jeriot de su mujer Azuba
Hur		Uri		M			1 Crónicas 2		Sentencia 59: Hur engendró a Uri, y Uri engendró a Bezaleel
Uri		Bezaleel		M			1 Crónicas 2		Sentencia 59: Hur engendró a Uri, y Uri engendró a Bezaleel
Maquir		Galaad		F			1 Crónicas 2		Sentencia 60: Después Hezrón se llegó a la hija de Maquir, padre de Galaad, a la cual tomó siendo él de sesenta añ
Segub		Jair		M			1 Crónicas 2		Sentencia 61: Segub engendró a Jair, quien poseyó veintitrés ciudades en la tierra de Galaad
Pero Gesur		Aram tomaron Havot-Jair		M			1 Crónicas 2		Sentencia 62: Linaje de Pero Gesur
Aram tomaron Havot-Jair		con Kenat	1	M			1 Crónicas 2		Sentencia 62: Hijo de Aram tomaron Havot-Jair
Aram tomaron Havot-Jair		sus aldeas: sesenta lugares	2	M			1 Crónicas 2		Sentencia 62: Hijo de Aram tomaron Havot-Jair
Hezrón	Hezrón	Asur	1	M			1 Crónicas 2		Sentencia 64: Después que murió Hezrón en Caleb-Efrata, Abías mujer de Hezrón dio a luz a Asur, padre de Tecoa
Onam		Samai	1	M			1 Crónicas 2		Sentencia 68: Hijos de Onam: Samai y Jada
Onam		Jada	2	M			1 Crónicas 2		Sentencia 68: Hijos de Onam: Samai y Jada
Samai		Nadab	1	M			1 Crónicas 2		Sentencia 69: Hijos de Samai: Nadab y Abisur
Samai		Abisur	2	M			1 Crónicas 2		Sentencia 69: Hijos de Samai: Nadab y Abisur
Nadab		Seled	1	M			1 Crónicas 2		Sentencia 71: Hijos de Nadab: Seled y Apaim
Nadab		Apaim	2	M			1 Crónicas 2		Sentencia 71: Hijos de Nadab: Seled y Apaim
Apaim	Hezrón	Isi		M			1 Crónicas 2		Sentencia 73: Isi fue hijo de Apaim, y Sesán hijo de Isi, e hijo de Sesán, Ahlai
Jonatán		Pelet	1	M			1 Crónicas 2		Sentencia 76: Hijos de Jonatán: Pelet y Zaza
Jonatán		Zaza	2	M			1 Crónicas 2		Sentencia 76: Hijos de Jonatán: Pelet y Zaza
Atai		Natán		M			1 Crónicas 3		Sentencia 80: Atai engendró a Natán, y Natán engendró a Zabad; Zabad engendró a Eflal, Eflal engendró a Obed; Obed
Zabad		Eflal		M			1 Crónicas 3		Sentencia 80: Atai engendró a Natán, y Natán engendró a Zabad; Zabad engendró a Eflal, Eflal engendró a Obed; Obed
Obed		Jehú		M			1 Crónicas 3		Sentencia 80: Atai engendró a Natán, y Natán engendró a Zabad; Zabad engendró a Eflal, Eflal engendró a Obed; Obed
Azarías		Heles		M			1 Crónicas 3		Sentencia 80: Atai engendró a Natán, y Natán engendró a Zabad; Zabad engendró a Eflal, Eflal engendró a Obed; Obed
Elasa		Sismai		M			1 Crónicas 3		Sentencia 80: Atai engendró a Natán, y Natán engendró a Zabad; Zabad engendró a Eflal, Eflal engendró a Obed; Obed
Salum		Jecamías		M			1 Crónicas 3		Sentencia 80: Atai engendró a Natán, y Natán engendró a Zabad; Zabad engendró a Eflal, Eflal engendró a Obed; Obed
Jecamías		Elisama		M			1 Crónicas 3		Sentencia 80: Atai engendró a Natán, y Natán engendró a Zabad; Zabad engendró a Eflal, Eflal engendró a Obed; Obed
Maresa		Hebrón		M			1 Crónicas 3		Sentencia 81: Hijos de Caleb, hermano de Jerameel: Mesa su primogénito, que fue el padre de Zif; y los hijos de Ma
Hebrón		Coré	1	M			1 Crónicas 3		Sentencia 82: Hijos de Hebrón: Coré, Tapúa, Requem y Sema
Hebrón		Tapúa	2	M			1 Crónicas 3		Sentencia 82: Hijos de Hebrón: Coré, Tapúa, Requem y Sema
Hebrón		Requem	3	M			1 Crónicas 3		Sentencia 82: Hijos de Hebrón: Coré, Tapúa, Requem y Sema
Hebrón		Sema	4	M			1 Crónicas 3		Sentencia 82: Hijos de Hebrón: Coré, Tapúa, Requem y Sema
Sema		Raham		M			1 Crónicas 3		Sentencia 83: Sema engendró a Raham, padre de Jorcoam, y Requem engendró a Samai
Requem		Samai		M			1 Crónicas 3		Sentencia 83: Sema engendró a Raham, padre de Jorcoam, y Requem engendró a Samai
Samai	Hezrón	Maón		M			1 Crónicas 3		Sentencia 84: Maón fue hijo de Samai, y Maón padre de Bet-Sur
Caleb	Caleb	Harán	1	M	Egipto (padre)	Perro, audaz, impetuoso o fiel	1 Crónicas 3 [Cruces: Caleb: Números 13:6, 14:24-38; Josué 14:6-15]	Sobre el padre (Caleb): Espía fiel de la tribu de Judá que confió en Dios; recibió Hebrón como herencia por su fe.	Sentencia 85: Y Efa, concubina de Caleb, dio a luz a Harán, a Mosa y a Gazez
Caleb	Caleb	a Mosa	2	M	Egipto (padre)	Perro, audaz, impetuoso o fiel	1 Crónicas 3 [Cruces: Caleb: Números 13:6, 14:24-38; Josué 14:6-15]	Sobre el padre (Caleb): Espía fiel de la tribu de Judá que confió en Dios; recibió Hebrón como herencia por su fe.	Sentencia 85: Y Efa, concubina de Caleb, dio a luz a Harán, a Mosa y a Gazez
Caleb	Caleb	Gazez	3	M	Egipto (padre)	Perro, audaz, impetuoso o fiel	1 Crónicas 3 [Cruces: Caleb: Números 13:6, 14:24-38; Josué 14:6-15]	Sobre el padre (Caleb): Espía fiel de la tribu de Judá que confió en Dios; recibió Hebrón como herencia por su fe.	Sentencia 85: Y Efa, concubina de Caleb, dio a luz a Harán, a Mosa y a Gazez
Harán		Gazez		M			1 Crónicas 3		Sentencia 86: Y Harán engendró a Gazez
Jahdai		Regem	1	M			1 Crónicas 3		Sentencia 87: Hijos de Jahdai: Regem, Jotam, Gesam, Pelet, Efa y Saaf
Jahdai		Jotam	2	M			1 Crónicas 3		Sentencia 87: Hijos de Jahdai: Regem, Jotam, Gesam, Pelet, Efa y Saaf
Jahdai		Gesam	3	M			1 Crónicas 3		Sentencia 87: Hijos de Jahdai: Regem, Jotam, Gesam, Pelet, Efa y Saaf
Jahdai		Pelet	4	M			1 Crónicas 3		Sentencia 87: Hijos de Jahdai: Regem, Jotam, Gesam, Pelet, Efa y Saaf
Jahdai		Efa	5	M			1 Crónicas 3		Sentencia 87: Hijos de Jahdai: Regem, Jotam, Gesam, Pelet, Efa y Saaf
Jahdai		Saaf	6	M			1 Crónicas 3		Sentencia 87: Hijos de Jahdai: Regem, Jotam, Gesam, Pelet, Efa y Saaf
Caleb	Caleb	Seber	1	M	Egipto (padre)	Perro, audaz, impetuoso o fiel	1 Crónicas 3 [Cruces: Caleb: Números 13:6, 14:24-38; Josué 14:6-15]	Sobre el padre (Caleb): Espía fiel de la tribu de Judá que confió en Dios; recibió Hebrón como herencia por su fe.	Sentencia 88: Maaca, concubina de Caleb, dio a luz a Seber y a Tirhana
Caleb	Caleb	Tirhana	2	M	Egipto (padre)	Perro, audaz, impetuoso o fiel	1 Crónicas 3 [Cruces: Caleb: Números 13:6, 14:24-38; Josué 14:6-15]	Sobre el padre (Caleb): Espía fiel de la tribu de Judá que confió en Dios; recibió Hebrón como herencia por su fe.	Sentencia 88: Maaca, concubina de Caleb, dio a luz a Seber y a Tirhana
hija	También	Saaf	1	M			1 Crónicas 3		Sentencia 89: También dio a luz a Saaf, padre de Madmana, y a Seva, padre de Macbena, y padre de Gibea; y Acsa fue
Caleb		Hur	1	M	Egipto (padre)	Perro, audaz, impetuoso o fiel	1 Crónicas 3 [Cruces: Caleb: Números 13:6, 14:24-38; Josué 14:6-15]	Sobre el padre (Caleb): Espía fiel de la tribu de Judá que confió en Dios; recibió Hebrón como herencia por su fe.	Sentencia 90: Estos fueron los hijos de Caleb: hijos de Hur, primogénito de Efrata: Sobal, padre de Quiriat-Jearim
Caleb		Salma	2	M	Egipto (padre)	Perro, audaz, impetuoso o fiel	1 Crónicas 3 [Cruces: Caleb: Números 13:6, 14:24-38; Josué 14:6-15]	Sobre el padre (Caleb): Espía fiel de la tribu de Judá que confió en Dios; recibió Hebrón como herencia por su fe.	Sentencia 90: Estos fueron los hijos de Caleb: hijos de Hur, primogénito de Efrata: Sobal, padre de Quiriat-Jearim
Caleb		Haref	3	M	Egipto (padre)	Perro, audaz, impetuoso o fiel	1 Crónicas 3 [Cruces: Caleb: Números 13:6, 14:24-38; Josué 14:6-15]	Sobre el padre (Caleb): Espía fiel de la tribu de Judá que confió en Dios; recibió Hebrón como herencia por su fe.	Sentencia 90: Estos fueron los hijos de Caleb: hijos de Hur, primogénito de Efrata: Sobal, padre de Quiriat-Jearim
Sobal		Quiriat		M			1 Crónicas 3		Sentencia 91: Hijos de Sobal, padre de Quiriat-Jearim: Haroe, la mitad de los manahetitas
Familias de Quiriat-Jearim: los itritas		los futitas		M			1 Crónicas 3		Sentencia 92: Linaje de Familias de Quiriat-Jearim: los itritas
los futitas		los sumatitas		M			1 Crónicas 3		Sentencia 92: Linaje de los futitas
los sumatitas		misraítas		M			1 Crónicas 3		Sentencia 92: Linaje de los sumatitas
misraítas		de los cuales salieron los zoratitas	1	M			1 Crónicas 3		Sentencia 92: Hijo de misraítas
misraítas		estaolitas	2	M			1 Crónicas 3		Sentencia 92: Hijo de misraítas
Salma		Bet-Léjem	1	M			1 Crónicas 3		Sentencia 93: Hijos de Salma: Bet-Léjem, y los netofatitas, Atrot-Beth-Joab, y Hazi-Hammanahti, zoraíta
Salma		netofatitas	2	M			1 Crónicas 3		Sentencia 93: Hijos de Salma: Bet-Léjem, y los netofatitas, Atrot-Beth-Joab, y Hazi-Hammanahti, zoraíta
Salma		Atrot-Beth-Joab	3	M			1 Crónicas 3		Sentencia 93: Hijos de Salma: Bet-Léjem, y los netofatitas, Atrot-Beth-Joab, y Hazi-Hammanahti, zoraíta
Salma		Hazi-Hammanahti	4	M			1 Crónicas 3		Sentencia 93: Hijos de Salma: Bet-Léjem, y los netofatitas, Atrot-Beth-Joab, y Hazi-Hammanahti, zoraíta
Salma		zoraíta	5	M			1 Crónicas 3		Sentencia 93: Hijos de Salma: Bet-Léjem, y los netofatitas, Atrot-Beth-Joab, y Hazi-Hammanahti, zoraíta
escribas que habitaban en Jabes		tirateos	1	M			1 Crónicas 3		Sentencia 94: Y las familias de los escribas que habitaban en Jabes: los tirateos, los simeateos y los sucateos, l
escribas que habitaban en Jabes		los simeateos	2	M			1 Crónicas 3		Sentencia 94: Y las familias de los escribas que habitaban en Jabes: los tirateos, los simeateos y los sucateos, l
escribas que habitaban en Jabes		sucateos	3	M			1 Crónicas 3		Sentencia 94: Y las familias de los escribas que habitaban en Jabes: los tirateos, los simeateos y los sucateos, l
escribas que habitaban en Jabes		los cuales son los ceneos	4	M			1 Crónicas 3		Sentencia 94: Y las familias de los escribas que habitaban en Jabes: los tirateos, los simeateos y los sucateos, l
escribas que habitaban en Jabes		que proceden de Hamat	5	M			1 Crónicas 3		Sentencia 94: Y las familias de los escribas que habitaban en Jabes: los tirateos, los simeateos y los sucateos, l
David que le nacieron en Hebrón		Amnón	1	M			1 Crónicas 3		Sentencia 95: Estos son los hijos de David que le nacieron en Hebrón: Amnón, el primogénito, de Ahinoam jezreelita
David que le nacieron en Hebrón		el	1	M			1 Crónicas 3		Sentencia 95: Estos son los hijos de David que le nacieron en Hebrón: Amnón, el primogénito, de Ahinoam jezreelita
David que le nacieron en Hebrón		de Ahinoam jezreelita; el	2	M			1 Crónicas 3		Sentencia 95: Estos son los hijos de David que le nacieron en Hebrón: Amnón, el primogénito, de Ahinoam jezreelita
David que le nacieron en Hebrón		Daniel	2	M			1 Crónicas 3		Sentencia 95: Estos son los hijos de David que le nacieron en Hebrón: Amnón, el primogénito, de Ahinoam jezreelita
David que le nacieron en Hebrón		de Abigail la de Carmel; el	3	M			1 Crónicas 3		Sentencia 95: Estos son los hijos de David que le nacieron en Hebrón: Amnón, el primogénito, de Ahinoam jezreelita
David que le nacieron en Hebrón		Absalón	3	M			1 Crónicas 3		Sentencia 95: Estos son los hijos de David que le nacieron en Hebrón: Amnón, el primogénito, de Ahinoam jezreelita
David que le nacieron en Hebrón		hija de Talmai	4	F			1 Crónicas 3		Sentencia 95: Estos son los hijos de David que le nacieron en Hebrón: Amnón, el primogénito, de Ahinoam jezreelita
David que le nacieron en Hebrón		rey de Gesur; el	4	M			1 Crónicas 3		Sentencia 95: Estos son los hijos de David que le nacieron en Hebrón: Amnón, el primogénito, de Ahinoam jezreelita
David que le nacieron en Hebrón		Adonías	5	M			1 Crónicas 3		Sentencia 95: Estos son los hijos de David que le nacieron en Hebrón: Amnón, el primogénito, de Ahinoam jezreelita
David que le nacieron en Hebrón		Sefatías	6	M			1 Crónicas 3		Sentencia 95: Estos son los hijos de David que le nacieron en Hebrón: Amnón, el primogénito, de Ahinoam jezreelita
David que le nacieron en Hebrón		de Abital; el	6	M			1 Crónicas 3		Sentencia 95: Estos son los hijos de David que le nacieron en Hebrón: Amnón, el primogénito, de Ahinoam jezreelita
David que le nacieron en Hebrón		Itream	7	M			1 Crónicas 3		Sentencia 95: Estos son los hijos de David que le nacieron en Hebrón: Amnón, el primogénito, de Ahinoam jezreelita
David que le nacieron en Hebrón		de	8	M			1 Crónicas 3		Sentencia 95: Estos son los hijos de David que le nacieron en Hebrón: Amnón, el primogénito, de Ahinoam jezreelita
otros nueve: Ibhar		Elisama		M			1 Crónicas 4		Sentencia 99: Linaje de otros nueve: Ibhar
Elisama		Eliada	1	M			1 Crónicas 4		Sentencia 99: Hijo de Elisama
Elisama		Elifelet	2	M			1 Crónicas 4		Sentencia 99: Hijo de Elisama
Josías		Johanán	1	M			1 Crónicas 4		Sentencia 103: Hijos de Josías: Johanán, su primogénito, el segundo Joacim, el tercero Sedequías, el cuarto Salum
Josías		su	1	M			1 Crónicas 4		Sentencia 103: Hijos de Josías: Johanán, su primogénito, el segundo Joacim, el tercero Sedequías, el cuarto Salum
Josías		el	2	M			1 Crónicas 4		Sentencia 103: Hijos de Josías: Johanán, su primogénito, el segundo Joacim, el tercero Sedequías, el cuarto Salum
Joacim		Jeconías su	1	M			1 Crónicas 4		Sentencia 104: Hijos de Joacim: Jeconías su hijo, hijo del cual fue Sedequías
Jeconías el cautivo		Salatiel	1	M			1 Crónicas 4		Sentencia 105: Hijos de Jeconías el cautivo: Salatiel, Malquiram, Pedaías, Senazar, Jecamías, Hosama y Nedabías
Jeconías el cautivo		Malquiram	2	M			1 Crónicas 4		Sentencia 105: Hijos de Jeconías el cautivo: Salatiel, Malquiram, Pedaías, Senazar, Jecamías, Hosama y Nedabías
Jeconías el cautivo		Pedaías	3	M			1 Crónicas 4		Sentencia 105: Hijos de Jeconías el cautivo: Salatiel, Malquiram, Pedaías, Senazar, Jecamías, Hosama y Nedabías
Jeconías el cautivo		Senazar	4	M			1 Crónicas 4		Sentencia 105: Hijos de Jeconías el cautivo: Salatiel, Malquiram, Pedaías, Senazar, Jecamías, Hosama y Nedabías
Jeconías el cautivo		Jecamías	5	M			1 Crónicas 4		Sentencia 105: Hijos de Jeconías el cautivo: Salatiel, Malquiram, Pedaías, Senazar, Jecamías, Hosama y Nedabías
Jeconías el cautivo		Hosama	6	M			1 Crónicas 4		Sentencia 105: Hijos de Jeconías el cautivo: Salatiel, Malquiram, Pedaías, Senazar, Jecamías, Hosama y Nedabías
Jeconías el cautivo		Nedabías	7	M			1 Crónicas 4		Sentencia 105: Hijos de Jeconías el cautivo: Salatiel, Malquiram, Pedaías, Senazar, Jecamías, Hosama y Nedabías
Pedaías		Zorobabel	1	M			1 Crónicas 4		Sentencia 106: Hijos de Pedaías: Zorobabel y Simei
Pedaías		Simei	2	M			1 Crónicas 4		Sentencia 106: Hijos de Pedaías: Zorobabel y Simei
Zorobabel		Mesulam	1	M			1 Crónicas 4		Sentencia 107: E hijos de Zorobabel: Mesulam, Hananías, y Selomit, su hermana
Zorobabel		Hananías	2	M			1 Crónicas 4		Sentencia 107: E hijos de Zorobabel: Mesulam, Hananías, y Selomit, su hermana
Zorobabel		Selomit	3	F			1 Crónicas 4		Sentencia 107: E hijos de Zorobabel: Mesulam, Hananías, y Selomit, su hermana
También estos cinco: Hasuba		Ohel		M			1 Crónicas 4		Sentencia 108: Linaje de También estos cinco: Hasuba
Ohel		Berequías		M			1 Crónicas 4		Sentencia 108: Linaje de Ohel
Berequías		Hasadías	1	M			1 Crónicas 4		Sentencia 108: Hijo de Berequías
Berequías		Jusab-Hesed	2	M			1 Crónicas 4		Sentencia 108: Hijo de Berequías
Hananías		Pelatías	1	M			1 Crónicas 4		Sentencia 109: E hijos de Hananías: Pelatías y Jesaías; su hijo, Refaías; su hijo, Arnán; su hijo, Abdías; su hijo,
Hananías		Jesaías; su	2	M			1 Crónicas 4		Sentencia 109: E hijos de Hananías: Pelatías y Jesaías; su hijo, Refaías; su hijo, Arnán; su hijo, Abdías; su hijo,
Hananías		Refaías; su	3	M			1 Crónicas 4		Sentencia 109: E hijos de Hananías: Pelatías y Jesaías; su hijo, Refaías; su hijo, Arnán; su hijo, Abdías; su hijo,
